ID,isFreq,isVar,clickNum,time,timePeriod,isCorrect,onSwimmer,isDuringDrowning,onDiver,clickDelay,expression,swimmerStill,swimmerX,swimmerY,StuckToWalls,,,,,,,,,,
5,0,1,0,7.22408032417297,Initial,True,True,True,False,1.19408416748046,5,False,209,444,0,,,,,,,,,,
5,0,1,3,175.661309003829,Condition,True,True,True,False,1.53351497650146,4,False,311,522,0,,,,,,,,,,
5,0,1,2,100.402105093002,Initial,True,True,True,False,2.3648018836975,4,False,530,354,0,,,,,,,,,,
5,0,1,12,1165.48034214973,End,True,True,True,False,2.38630104064941,3,False,868,471,0,,,,,,,,,,
5,0,1,6,653.21,Condition,True,True,True,False,3.12735795974731,3,False,627,471,0,,,,,,,,,,
5,0,1,8,921.79630613327,Condition,True,True,True,False,3.76060509681701,6,True,1052,229,0,,,,,,,,,,
5,0,1,4,326.336531162261,Condition,True,True,True,False,4.22745704650878,6,True,826,161,0,,,,,,,,,,
5,0,1,5,450.759652137756,Condition,True,True,True,False,4.71101307868957,7,False,299,384,0,,,,,,,,,,
5,0,1,11,1088.75758123397,End,True,True,True,False,5.64555311203002,2,False,1051,237,0,,,,,,,,,,
5,0,1,10,1044.15927314758,End,True,True,True,False,6.06217718124389,5,False,300,141,0,,,,,,,,,,
5,0,1,7,842.001101255416,Condition,False,False,False,False,,,,,,0,,,,,,,,,,
5,0,1,9,1043.16188907623,End,False,False,True,False,,,,,,0,,,,,,,,,,
5,0,1,13,1186.12364125251,End,False,False,False,False,,,,,,0,,,,,,,,,,
6,0,1,11,1038.72354912757,End,True,True,True,False,0.640643835067749,5,True,1043,45,1,,,,,,,,,,
6,0,1,2,98.9394073486328,Initial,True,True,True,False,0.843778371810913,4,False,863,419,1,,,,,,,,,,
6,0,1,10,919.011774539947,Condition,True,True,True,False,0.968800783157348,5,True,70,353,1,,,,,,,,,,
6,0,1,0,7.05,Initial,True,True,True,False,0.968839168548584,4,False,997,172,1,,,,,,,,,,
6,0,1,3,175.05710363388,Condition,True,True,True,False,1.00858330726623,3,False,72,176,1,,,,,,,,,,
6,0,1,1,64.1863720417022,Initial,True,True,True,False,1.04693293571472,4,False,455,565,1,,,,,,,,,,
6,0,1,7,447.225756168365,Condition,True,True,True,False,1.14069938659667,2,False,317,151,1,,,,,,,,,,
6,0,1,12,1084.64882349967,End,True,True,True,False,1.53139185905456,6,True,554,44,1,,,,,,,,,,
6,0,1,13,1165.20164084434,End,True,True,True,False,2.093923330307,2,True,447,655,1,,,,,,,,,,
6,0,1,6,324.542106628417,Condition,True,True,True,False,2.50022983551025,3,True,422,655,1,,,,,,,,,,
6,0,1,9,652.67700600624,Condition,True,True,True,False,2.60954689979553,3,True,68,101,1,,,,,,,,,,
6,0,1,4,271.278254985809,Condition,False,True,False,True,,1,True,70,70,1,,,,,,,,,,
6,0,1,5,324.073328495025,Condition,False,False,True,False,,,,,,1,,,,,,,,,,
6,0,1,8,652.46,Condition,False,False,True,False,,,,,,1,,,,,,,,,,
7,0,1,7,446.717546939849,Condition,True,True,True,False,0.687538146972656,5,True,954,655,1,,,,,,,,,,
7,0,1,6,322.803927183151,Condition,True,True,True,False,0.765662431716919,7,True,1046,377,1,,,,,,,,,,
7,0,1,8,651.30731678009,Condition,True,True,True,False,1.25006890296936,4,True,604,388,1,,,,,,,,,,
7,0,1,4,99.4949281215667,Initial,True,True,True,False,1.48,2,False,244,168,1,,,,,,,,,,
7,0,1,10,1039.81238222122,End,True,True,True,False,1.70321774482727,6,True,69,280,1,,,,,,,,,,
7,0,1,12,1164.78809714317,End,True,True,True,False,1.76572155952453,3,True,852,45,1,,,,,,,,,,
7,0,1,5,176.228692293167,Condition,True,True,True,False,2.14074206352233,3,True,1131,408,1,,,,,,,,,,
7,0,1,0,8.34420299530029,Initial,True,True,True,False,2.28137016296386,2,True,612,389,1,,,,,,,,,,
7,0,1,11,1085.37734246253,End,True,True,True,False,2.34387564659118,7,True,1131,280,1,,,,,,,,,,
7,0,1,9,920.852669954299,Condition,True,True,True,False,2.78,3,True,318,44,1,,,,,,,,,,
7,0,1,2,72.11,Initial,True,True,True,False,9.00064444541931,5,False,555,371,1,,,,,,,,,,
7,0,1,1,64.8897469043731,Initial,False,False,True,False,,,,,,1,,,,,,,,,,
7,0,1,3,98.82,Initial,False,False,True,False,,,,,,1,,,,,,,,,,
8,0,1,10,175.59306192398,Condition,True,True,True,False,1.50006341934204,4,True,543,45,1,,,,,,,,,,
8,0,1,8,99.5790967941284,Initial,True,True,True,False,1.57820272445678,7,True,584,467,1,,,,,,,,,,
8,0,1,12,447.694195747375,Condition,True,True,True,False,1.67,2,False,701,428,1,,,,,,,,,,
8,0,1,1,8.10996985435485,Initial,True,True,True,False,2.08,2,False,451,481,1,,,,,,,,,,
8,0,1,17,1085.53043723106,End,True,True,True,False,2.43783235549926,3,False,229,437,1,,,,,,,,,,
8,0,1,13,652.544101476669,Condition,True,True,True,False,2.48450469970703,5,True,1130,136,1,,,,,,,,,,
8,0,1,11,325.736602067947,Condition,True,True,True,False,3.71894478797912,3,False,463,55,1,,,,,,,,,,
8,0,1,14,922.691286563873,Condition,True,True,True,False,4.68773388862609,4,True,723,39,1,,,,,,,,,,
8,0,1,16,1042.77652025222,End,True,True,True,False,4.68784928321838,2,True,692,45,1,,,,,,,,,,
8,0,1,18,1175.81830668449,End,True,True,True,False,12.719871520996,3,False,290,648,1,,,,,,,,,,
8,0,1,0,5.8285014629364,Initial,False,True,False,True,,1,False,340,192,1,,,,,,,,,,
8,0,1,2,12.1918377876281,Initial,False,True,False,True,,1,True,92,217,1,,,,,,,,,,
8,0,1,3,14.645406961441,Initial,False,True,False,True,,1,False,85,557,1,,,,,,,,,,
8,0,1,4,28.7094588279724,Initial,False,True,False,False,,0,True,721,321,1,,,,,,,,,,
8,0,1,5,41.3825805187225,Initial,False,True,False,True,,1,True,509,655,1,,,,,,,,,,
8,0,1,6,61.9621107578277,Initial,False,True,False,True,,1,False,1060,92,1,,,,,,,,,,
8,0,1,9,99.5790967941284,Initial,False,True,False,False,,0,False,589,471,1,,,,,,,,,,
8,0,1,15,1041.90147399902,End,False,False,True,False,,,,,,1,,,,,,,,,,
9,0,1,1,6.35975098609924,Initial,True,True,True,False,0.296890258789062,6,False,1010,277,1,,,,,,,,,,
9,0,1,8,174.951820850372,Condition,True,True,True,False,0.859421730041503,7,False,1060,271,1,,,,,,,,,,
9,0,1,6,64.4779546260833,Initial,True,True,True,False,1.45318675041198,7,True,578,344,1,,,,,,,,,,
9,0,1,11,651.61,Condition,True,True,True,False,1.60944461822509,5,False,627,54,1,,,,,,,,,,
9,0,1,14,1040.24016833305,End,True,True,True,False,2.17208242416381,7,True,1130,64,1,,,,,,,,,,
9,0,1,13,920.233340740203,Condition,True,True,True,False,2.21884846687316,7,False,743,86,1,,,,,,,,,,
9,0,1,15,1085.40461325645,End,True,True,True,False,2.32824516296386,2,True,1130,257,1,,,,,,,,,,
9,0,1,7,100.644271850585,Initial,True,True,True,False,2.60950779914855,7,True,334,45,1,,,,,,,,,,
9,0,1,9,324.918031215667,Condition,True,True,True,False,2.8334047794342,6,True,1088,655,1,,,,,,,,,,
9,0,1,10,448.955364465713,Condition,True,True,True,False,2.89095997810363,5,False,156,156,1,,,,,,,,,,
